nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  12/18/2024 8:24:46 PM 173.66.45.197 GET /admin/procurements
 HTTP  12/18/2024 8:24:46 PM 173.66.45.197 Returned 200 in 72 ms
 HTTP  12/18/2024 8:24:46 PM 173.66.45.197 GET /static/js/main.66bda9a2.js
 HTTP  12/18/2024 8:24:46 PM 173.66.45.197 GET /static/css/main.f855e6bc.css
 HTTP  12/18/2024 8:24:46 PM 173.66.45.197 Returned 200 in 3 ms
 HTTP  12/18/2024 8:24:46 PM 173.66.45.197 Returned 200 in 8 ms
 HTTP  12/18/2024 8:24:47 PM 173.66.45.197 GET /favicon.ico
 HTTP  12/18/2024 8:24:47 PM 173.66.45.197 Returned 200 in 2 ms
 HTTP  12/18/2024 8:24:53 PM 173.66.45.197 GET /
 HTTP  12/18/2024 8:24:53 PM 173.66.45.197 Returned 200 in 2 ms
 HTTP  12/18/2024 8:24:53 PM 173.66.45.197 GET /static/js/main.66bda9a2.js
 HTTP  12/18/2024 8:24:53 PM 173.66.45.197 Returned 304 in 1 ms
 HTTP  12/18/2024 8:24:53 PM 173.66.45.197 GET /static/css/main.f855e6bc.css
 HTTP  12/18/2024 8:24:53 PM 173.66.45.197 Returned 304 in 1 ms
 HTTP  12/18/2024 8:25:42 PM 127.0.0.1 GET /
 HTTP  12/18/2024 8:25:42 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  12/18/2024 8:25:42 PM 127.0.0.1 GET /static/css/main.f855e6bc.css
 HTTP  12/18/2024 8:25:42 PM 127.0.0.1 GET /static/js/main.66bda9a2.js
 HTTP  12/18/2024 8:25:42 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  12/18/2024 8:25:42 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  12/18/2024 8:25:44 PM 127.0.0.1 GET /manifest.json
 HTTP  12/18/2024 8:25:44 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  12/18/2024 8:25:44 PM 127.0.0.1 GET /logo192.png
 HTTP  12/18/2024 8:25:44 PM 127.0.0.1 Returned 200 in 4 ms
